property,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
3221059036,20140502,4.00e+5,4,2.5,3630,42884,1.5,0,0,3,9,2300,1330,1979,0,98092,47.2617,-122.19,2830,80148
1982201345,20140502,4.40e+5,2,1,800,4850,1,0,0,4,7,800,0,1944,0,98107,47.6639,-122.364,1150,4365
2025700730,20140502,2.87e+5,3,3,1850,19966,1,0,0,4,7,1090,760,1992,0,98038,47.3493,-122.034,1410,6715
5072200040,20140502,4.03e+5,3,2,1960,13100,1,0,2,5,8,1650,310,1957,0,98166,47.4419,-122.34,1960,10518
943100683,20140502,3.35e+5,3,2.25,1580,16215,1,0,0,4,7,1580,0,1978,0,98024,47.5643,-121.897,1450,16215
2391600950,20140502,4.40e+5,3,2.5,1770,2875,2,0,0,3,8,1770,0,1990,0,98116,47.5631,-122.397,1770,3833
1771000430,20140502,3.15e+5,3,1,1160,9180,1,0,0,3,7,1160,0,1968,0,98077,47.7427,-122.072,1160,10282
6403500290,20140502,4.08e+5,3,2.5,1930,10460,2,0,0,3,8,1930,0,1996,0,98059,47.4938,-122.161,2290,8228
8673400086,20140502,4.46e+5,3,2.5,1270,1180,3,0,0,3,8,1270,0,2001,0,98107,47.6697,-122.392,1320,1180
2326059099,20140502,8.38e+5,4,2.5,3310,42998,2,0,0,3,9,3310,0,2001,0,98052,47.7232,-122.131,3350,42847
7525410190,20140502,5.50e+5,3,1.75,2910,35200,1.5,0,0,3,8,2910,0,1979,0,98075,47.5747,-122.035,2590,37500
2201501015,20140502,4.30e+5,4,1.5,1920,10000,1,0,0,4,7,1070,850,1954,0,98006,47.5725,-122.133,1450,10836
2423600100,20140502,4.92e+5,4,1.75,2190,125452,1,0,2,3,9,2190,0,1968,0,98092,47.2703,-122.069,3000,125017
2771102144,20140502,3.85e+5,3,3.25,1320,1327,2,0,0,3,8,1040,280,2008,0,98199,47.6506,-122.383,1440,1263
3438501320,20140502,2.95e+5,2,2.5,1630,1368,2,0,0,3,7,1280,350,2009,0,98106,47.5489,-122.363,1590,2306
8564860280,20140502,4.60e+5,3,2.5,2680,5539,2,0,0,3,8,2680,0,2013,0,98045,47.4761,-121.734,2990,6037
3832050580,20140502,3.00e+5,3,2.5,2540,5050,2,0,0,3,7,2540,0,2006,0,98042,47.3358,-122.055,2280,5050
8682250090,20140504,7.75e+5,2,2.5,2680,7392,1,0,0,3,9,2680,0,2004,0,98053,47.717,-122.026,2315,7045
2591830130,20140504,3.65e+5,3,2.5,2200,7350,1,0,0,5,8,1570,630,1988,0,98058,47.4395,-122.161,2350,7557
4137010530,20140504,3.32e+5,4,2.5,2530,9933,2,0,2,3,8,2010,520,1990,0,98092,47.2654,-122.216,2140,9933
9829201058,20140504,7.84e+5,3,2.5,2850,7130,2,0,0,3,10,1990,860,1980,0,98122,47.603,-122.289,2280,6459
1954440060,20140505,5.60e+5,3,2.5,1900,8744,2,0,0,3,8,1900,0,1987,0,98074,47.62,-122.043,2030,8744
325059171,20140505,9.00e+5,3,1,1330,77972,1,0,0,3,7,1330,0,1928,1954,98033,47.6891,-122.159,1340,17689
6865200444,20140505,5.31e+5,2,3,1270,1175,2,0,0,3,8,1110,160,2000,0,98103,47.6634,-122.34,1290,1800
9828700200,20140505,8.31e+5,4,3,2170,4000,2,0,0,4,9,1610,560,1982,2011,98112,47.6196,-122.292,1670,4000
1549500370,20140505,2.10e+5,3,1,1340,306848,1,0,0,3,5,1340,0,1953,0,98019,47.7534,-121.912,1800,128066
9512000140,20140505,7.55e+5,4,2.5,2120,10202,1,0,0,4,7,1620,500,1960,0,98005,47.5858,-122.17,1570,10762
3629910240,20140505,7.05e+5,3,2.5,2490,4343,2,0,0,3,9,2490,0,2003,0,98029,47.5493,-121.993,2130,4106
6896300375,20140505,5.80e+5,2,1,2540,7000,1,0,0,5,8,1320,1220,1942,0,98118,47.5259,-122.261,2160,6000
5561301280,20140505,4.10e+5,3,2.25,1800,36704,1,0,0,4,8,1360,440,1978,0,98027,47.4688,-122.013,2730,36404
3574801780,20140505,4.85e+5,4,3,2340,7048,1,0,0,4,8,1340,1000,1979,0,98034,47.7306,-122.227,1440,8088
5589900590,20140505,4.00e+5,2,1.75,2110,9519,1,0,0,2,7,2110,0,1948,0,98155,47.7504,-122.306,1480,9519
9828700900,20140505,5.49e+5,2,1,1140,5400,1,0,0,5,7,1140,0,1908,0,98112,47.6205,-122.294,1520,4800
2488200459,20140505,4.05e+5,2,3,1410,1240,2,0,0,3,8,1140,270,2006,0,98136,47.5221,-122.39,1410,1273
2946001645,20140505,2.32e+5,2,1,1200,8063,1,0,0,4,6,1200,0,1958,0,98198,47.4204,-122.324,1200,7500
3619600143,20140505,6.50e+5,3,1.5,2160,9000,1,0,2,4,8,1400,760,1949,0,98177,47.7241,-122.369,3010,9000
6821101870,20140505,5.24e+5,3,1.75,1560,5520,1,0,0,4,6,780,780,1944,0,98199,47.6515,-122.399,1470,6000
9822700255,20140505,6.70e+5,3,2.5,1680,2000,3,0,0,3,9,1680,0,1909,1998,98105,47.6604,-122.29,1950,5000
1196000007,20140505,3.85e+5,5,2.5,3090,12750,1,0,0,3,8,1750,1340,1968,0,98023,47.3408,-122.335,1760,25919
4309710250,20140505,7.37e+5,4,2.5,3180,21904,2,0,3,3,9,3180,0,2000,0,98059,47.515,-122.117,3715,29170
6143600580,20140505,1.84e+5,3,1.75,1490,10125,1,0,0,4,7,1490,0,1962,0,98001,47.3075,-122.284,2488,4981
23500180,20140505,5.70e+5,3,2.25,2010,6000,1,0,0,3,8,1330,680,1975,0,98052,47.6912,-122.115,2080,8260
259600530,20140505,5.01e+5,4,1,2070,7519,1,0,0,3,7,1160,910,1963,0,98008,47.632,-122.119,1730,7519
2487700065,20140505,4.00e+5,2,1,840,5510,1,0,0,3,7,840,0,1955,0,98136,47.5247,-122.391,1630,5510
1898700310,20140505,2.20e+5,4,1.5,1240,9600,1,0,0,3,7,1240,0,1971,0,98023,47.3206,-122.397,1240,9592
1402810140,20140505,3.00e+5,3,2,1050,10072,1,0,0,3,7,1050,0,1986,0,98019,47.7341,-121.976,1130,10087
1823069155,20140505,5.26e+5,5,1.75,2550,71874,1,0,0,5,7,1810,740,1960,0,98027,47.4845,-122.08,2170,51400
1861400060,20140505,7.40e+5,4,1.75,2010,3600,1.5,0,0,3,7,2010,0,1902,0,98119,47.6337,-122.371,2010,3600
1446403305,20140505,2.06e+5,2,1,810,7158,1,0,0,5,6,810,0,1944,0,98168,47.4882,-122.325,1090,7158
1225069038,20140505,2.28e+6,7,8,13540,307752,3,0,4,3,12,9410,4130,1999,0,98053,47.6675,-121.986,4850,217800
6402710120,20140505,3.10e+5,3,2.5,1880,7838,2,0,0,3,7,1880,0,1994,0,98055,47.4439,-122.19,1810,7915
263000155,20140505,4.18e+5,3,2,1410,6030,1.5,0,0,4,7,1410,0,1930,0,98103,47.6994,-122.347,1410,6300
6145600865,20140505,4.49e+5,4,2,1480,3844,1.5,0,0,5,7,1480,0,1928,0,98133,47.7042,-122.352,1480,3844
3329520410,20140505,2.45e+5,3,1.75,1920,9306,1,0,0,3,7,1000,920,1984,0,98001,47.3319,-122.267,1860,8458
8653900150,20140505,8.00e+5,3,2.5,3240,7857,2,0,0,3,10,3240,0,1994,0,98075,47.5857,-122.038,2970,7857
1823069213,20140505,2.50e+5,3,2,1550,15040,1,0,0,4,6,1550,0,1958,0,98059,47.4873,-122.099,1510,41416
7784400130,20140505,4.97e+5,6,2.75,3200,9200,1,0,2,4,8,1600,1600,1953,0,98146,47.492,-122.364,2220,9500
4385700425,20140505,1.43e+6,2,2.5,2220,4000,2,0,0,3,9,2220,0,2000,0,98112,47.6364,-122.28,1870,4000
2790410250,20140505,6.15e+5,4,1.75,2300,11700,1,0,0,4,9,1960,340,1977,0,98052,47.6331,-122.094,2840,12000
1868900775,20140505,6.19e+5,3,2,1800,5000,1,0,0,4,7,1080,720,1942,0,98115,47.6738,-122.297,1800,5000
2558720120,20140505,4.88e+5,4,1.75,2010,9211,1,0,0,3,7,1470,540,1977,0,98034,47.7206,-122.171,1840,8500
1862400176,20140505,6.32e+5,4,2.5,2440,6651,2,0,0,3,9,2440,0,2014,0,98117,47.6971,-122.371,1350,7653
8648900110,20140505,5.55e+5,3,2.5,1940,3211,2,0,0,3,8,1940,0,2009,0,98027,47.5644,-122.093,1880,3078
3644100086,20140505,3.40e+5,2,1.5,1160,1438,2,0,0,3,7,1160,0,2001,0,98144,47.5917,-122.295,1220,1740
8562710250,20140505,8.90e+5,4,4.25,4420,5750,2,0,0,3,10,3410,1010,2006,0,98027,47.5404,-122.073,4420,5750
6632300212,20140505,3.67e+5,3,3,1571,2017,3,0,0,3,8,1571,0,2008,0,98125,47.7338,-122.309,1520,1497
259500270,20140505,4.78e+5,3,2.5,3040,4535,2,0,0,3,9,3040,0,2007,0,98056,47.51,-122.185,2670,4666
8138870530,20140505,4.19e+5,2,2.5,1590,1426,2,0,0,3,8,1590,0,2014,0,98029,47.5441,-122.013,1590,1426
6666830250,20140505,7.12e+5,4,2.5,2450,4247,2,0,0,3,8,2450,0,2013,0,98052,47.7048,-122.113,2970,4685
3754700160,20140506,3.97e+5,4,2,1440,7680,1,0,0,3,7,1200,240,1971,0,98034,47.7245,-122.2,1460,9660
5701800030,20140506,6.09e+5,4,2.5,2150,37981,2,0,0,3,9,2150,0,1985,0,98052,47.7227,-122.098,2450,37981
3176100110,20140506,6.50e+5,3,1.5,1630,7475,1,0,1,3,7,1160,470,1940,0,98115,47.6725,-122.272,2320,7475
3524039209,20140506,1.14e+6,4,2.75,3370,8103,1,0,3,3,9,1970,1400,1970,2014,98136,47.5232,-122.383,2120,6360
9477001280,20140506,4.25e+5,4,2,1520,7983,1,0,0,5,7,1520,0,1967,0,98034,47.7357,-122.193,1520,7783
4302200535,20140506,2.19e+5,2,1,900,5160,1,0,0,3,6,900,0,1952,0,98106,47.525,-122.356,900,5160
4040800090,20140506,3.90e+5,3,1.75,1260,6500,1,0,0,4,7,1260,0,1966,0,98008,47.6224,-122.116,1500,7700
114100745,20140506,4.75e+5,6,3,3470,117612,1.5,0,0,3,7,3470,0,1924,0,98028,47.7663,-122.234,2120,17100
8656300380,20140506,2.72e+5,3,2.5,1650,13816,2,0,0,3,7,1650,0,1998,0,98014,47.6553,-121.912,1650,15144
2923049372,20140506,3.62e+5,3,2.25,1640,14374,1,0,0,4,7,1140,500,1963,0,98148,47.4476,-122.332,2020,10500
9564800145,20140506,1.75e+5,3,1,1010,7034,1,0,0,3,7,1010,0,1954,0,98055,47.49,-122.22,1440,10994
9828702513,20140506,4.60e+5,2,2.25,1230,929,2,0,0,3,8,1020,210,2004,0,98122,47.6191,-122.301,1270,1370
2558700090,20140506,4.55e+5,5,2.5,2240,7770,1,0,0,3,7,1340,900,1978,0,98034,47.7198,-122.171,1820,7770
1777600230,20140506,6.10e+5,4,3,2450,10117,1,0,0,5,8,1580,870,1967,0,98006,47.5694,-122.132,2530,10125
579002870,20140506,6.13e+5,4,2,2060,5000,1,0,0,3,7,1030,1030,1949,2013,98117,47.6992,-122.379,1280,5000
1995200200,20140506,3.14e+5,3,1,1510,6083,1,0,0,4,6,860,650,1940,0,98115,47.6966,-122.324,1510,5712
2771600350,20140506,5.75e+5,3,1.75,2130,6500,1,0,2,3,8,1170,960,1954,0,98199,47.6424,-122.386,2020,5000
1068000520,20140506,1.23e+6,4,2.25,3490,6906,2,0,0,4,10,2280,1210,1928,0,98199,47.6424,-122.407,2540,6223
6070500055,20140506,5.99e+5,4,2.25,2260,29930,2,0,0,4,8,1400,860,1977,0,98006,47.5689,-122.126,2770,29930
6150700394,20140506,3.65e+5,3,1.5,1310,8160,1,0,0,3,7,1310,0,1950,0,98133,47.7291,-122.339,1090,7560
6751300065,20140506,5.18e+5,3,1.5,1430,8000,1,0,0,4,7,1430,0,1956,0,98007,47.5874,-122.136,1450,8000
3396820150,20140506,5.62e+5,5,2.25,3040,8111,2,0,0,3,8,3040,0,1984,0,98052,47.7157,-122.103,2020,8304
7300200290,20140506,6.50e+5,5,3.5,3480,36615,2,0,0,4,8,2490,990,1983,0,98075,47.5741,-122.05,2540,35910
2436200715,20140506,4.84e+5,2,1.75,1660,6000,1,0,0,3,7,1160,500,1942,0,98105,47.6624,-122.291,1660,4000
3205100130,20140506,3.87e+5,3,1,1230,9568,1,0,0,5,7,1230,0,1962,0,98056,47.539,-122.179,1270,9575
3862400050,20140506,4.65e+5,3,2.25,1970,11088,1,0,0,4,8,1180,790,1967,0,98155,47.7651,-122.277,1970,10470
226039075,20140506,6.56e+5,4,3.5,3380,8330,2,0,0,3,8,3380,0,2000,0,98177,47.7741,-122.379,2220,8330
9482700440,20140506,5.33e+5,5,2.75,1800,3780,1.5,0,0,3,7,1400,400,1926,0,98103,47.6831,-122.343,1400,3780
2742100009,20140506,3.85e+5,3,1.75,1900,5520,1,0,0,3,7,1280,620,1982,0,98118,47.5549,-122.292,1330,5196
9550200650,20140506,4.99e+5,2,1.75,1170,2400,1,0,0,4,7,740,430,1903,0,98103,47.6653,-122.333,1570,3919
2025049161,20140506,1.05e+6,3,2.5,2200,1970,2,0,0,3,9,1610,590,2008,0,98102,47.6426,-122.327,1890,3505
1788700230,20140506,1.91e+5,3,1.5,800,8850,1,0,0,4,6,800,0,1959,0,98023,47.3266,-122.348,820,8775
9828702265,20140506,5.00e+5,3,2.5,1480,1171,3,0,0,3,8,1480,0,2006,0,98112,47.62,-122.3,1480,1231
993000327,20140506,3.70e+5,3,2,1270,1320,3,0,0,3,8,1270,0,2006,0,98103,47.6937,-122.342,1370,1320
524059063,20140506,1.80e+6,5,5,4490,10279,2,0,0,3,10,3930,560,2013,0,98004,47.5974,-122.202,2490,10279
2985800030,20140507,4.95e+5,3,1,990,6000,1,0,0,3,6,990,0,1943,0,98105,47.6718,-122.267,1250,6000
6332940070,20140507,5.10e+5,4,2.5,2430,5203,2,0,0,3,8,2430,0,2003,0,98155,47.7402,-122.317,2260,7474
1117200390,20140507,1.15e+6,4,4,4460,103382,2,0,0,3,11,4460,0,2001,0,98053,47.634,-121.997,3470,88519
5636000400,20140507,2.53e+5,3,1.75,1250,10122,1,0,0,3,7,1250,0,1994,0,98010,47.3277,-122.001,1980,10175
2322069168,20140507,6.30e+5,3,2.5,2680,327135,2,0,0,3,8,2680,0,1995,0,98010,47.3783,-122.003,2020,60080
7932000078,20140507,3.10e+5,3,1.75,2070,37904,1,0,0,4,7,1420,650,1973,0,98058,47.425,-122.186,2011,19110
1425059178,20140507,4.60e+5,3,2,1760,9055,2,0,0,4,7,1760,0,1985,0,98052,47.6534,-122.128,2010,9383
2785000290,20140507,6.75e+5,3,1.75,1680,10500,1,0,0,4,8,1680,0,1959,0,98005,47.6098,-122.169,2250,10400
1972201856,20140507,5.26e+5,2,2,1550,2400,1.5,0,0,4,7,1550,0,1900,0,98103,47.654,-122.346,1180,1224
425079099,20140507,5.60e+5,3,3,4120,60392,2,0,2,3,9,3180,940,1994,0,98014,47.6804,-121.913,2770,64033
7503000020,20140507,4.15e+5,4,3,1830,9548,2,0,0,3,7,1830,0,1991,0,98028,47.7379,-122.224,1740,9750
7159200005,20140507,3.20e+6,7,4.5,6210,8856,2.5,0,2,5,11,4760,1450,1910,0,98109,47.6307,-122.354,2940,5400
1822300040,20140507,4.20e+5,2,1.5,1040,3500,1.5,0,0,4,6,1040,0,1904,0,98144,47.588,-122.304,1340,1213
2726079061,20140507,5.35e+5,3,1.75,2720,149410,1.5,0,0,3,9,2720,0,1988,0,98014,47.7092,-121.892,2560,149410
142000165,20140507,7.50e+5,4,2.75,2600,6050,2,0,0,5,8,1960,640,1949,0,98116,47.5656,-122.4,1990,6050
7882900120,20140507,2.30e+5,3,2.5,1920,9180,2,0,0,3,8,1920,0,1988,0,98055,47.4818,-122.231,1930,7252
8679600150,20140507,5.81e+5,4,2,2510,13695,1,0,0,4,7,1280,1230,1961,2001,98033,47.7005,-122.174,1220,12500
6865200831,20140507,4.75e+5,2,1,820,2723,1,0,0,3,7,820,0,1921,0,98103,47.6623,-122.339,1370,3850
8682230400,20140507,4.28e+5,2,2,1350,3900,1,0,0,3,8,1350,0,2003,0,98053,47.7094,-122.03,1440,3900
8825900465,20140507,5.99e+5,3,1.75,1960,4788,1,0,0,4,7,1090,870,1920,0,98115,47.6746,-122.312,1960,3960
3073500045,20140507,4.92e+5,4,2.5,3305,16164,1.5,0,0,5,7,2245,1060,1922,1956,98133,47.7563,-122.338,1620,8883
2926069083,20140507,9.00e+5,5,3.75,4130,226076,2,0,0,3,9,3170,960,1985,0,98077,47.715,-122.065,4130,55321
9274201006,20140507,7.05e+5,4,2.5,2650,4316,1.5,0,0,3,8,1520,1130,1905,2013,98116,47.5866,-122.389,1690,5625
7548300441,20140507,3.00e+5,2,1,760,3001,1,0,0,3,6,760,0,1913,0,98144,47.5874,-122.311,1750,5000
1900600040,20140507,2.65e+5,5,1.5,1500,7112,1,0,0,5,6,760,740,1920,0,98166,47.4692,-122.35,1200,7112
1338800365,20140507,1.50e+6,6,2.5,3560,6480,2.5,0,0,4,11,3560,0,1914,0,98112,47.627,-122.304,2780,6480
1370803460,20140507,1.34e+6,3,3,2960,5500,2,0,2,3,10,2440,520,1937,1990,98199,47.6356,-122.402,2960,5876
7697870530,20140507,2.40e+5,3,2,1410,7566,1,0,0,3,7,1410,0,1985,0,98030,47.3674,-122.182,1570,7210
1394300005,20140507,3.61e+5,2,1,820,6400,1,0,0,4,7,820,0,1944,0,98126,47.55,-122.379,1490,6400
8121100255,20140507,4.40e+5,3,1.75,1500,6180,1,0,0,4,6,1060,440,1947,0,98118,47.5689,-122.284,1740,6180
8155850010,20140507,6.75e+5,4,4,3680,18804,2,0,0,3,10,3680,0,1990,0,98074,47.6193,-122.014,3200,15954
9545230280,20140507,5.60e+5,3,2,1860,13374,1,0,0,3,8,1860,0,1985,0,98027,47.5397,-122.054,1960,9797
6146600185,20140507,1.60e+5,2,1,1040,13100,1,0,0,5,6,1040,0,1912,0,98032,47.3877,-122.234,910,5080
6093900280,20140507,2.10e+5,3,1.5,1380,11130,1,0,0,3,7,1380,0,1960,0,98003,47.3146,-122.323,1380,9200
8648220150,20140507,2.27e+5,3,1.75,1640,10762,1,0,0,3,7,1130,510,1988,0,98042,47.3586,-122.074,1680,10259
6708200040,20140507,4.10e+5,4,2.75,2140,13000,1,0,0,3,7,1320,820,1968,0,98028,47.7683,-122.252,2360,11000
2325039067,20140507,6.90e+5,3,2,1760,6428,1,0,0,4,7,980,780,1942,0,98199,47.6388,-122.397,1760,6004
7401000040,20140507,4.05e+5,3,2.25,1660,8307,1,0,0,4,8,1660,0,1961,0,98133,47.7575,-122.352,2510,7800
2548100180,20140507,3.35e+5,3,2,1570,7200,1,0,0,4,7,1570,0,1952,0,98155,47.7501,-122.314,1410,7434
3758900259,20140507,1.04e+6,4,3.5,3900,8391,2,0,0,3,10,3900,0,2006,0,98033,47.6979,-122.205,3820,12268
4014400381,20140507,4.95e+5,4,2.75,2656,21195,2,0,0,3,9,2656,0,2014,0,98001,47.3162,-122.272,1860,16510
1601600167,20140507,3.65e+5,5,2.75,2410,5003,1,0,0,3,7,1410,1000,2008,0,98118,47.5298,-122.274,1590,5003
3753000010,20140507,4.17e+5,3,2.25,1606,1452,3,0,0,3,8,1606,0,2009,0,98125,47.7175,-122.284,1516,1939
9521100301,20140507,3.40e+5,2,1,820,681,3,0,0,3,8,820,0,2006,0,98103,47.6619,-122.352,820,1156
8566100200,20140508,9.80e+5,5,2.5,3160,11470,1,0,0,4,9,1780,1380,1971,0,98040,47.5368,-122.216,3260,11470
4167300350,20140508,2.58e+5,4,1.75,1730,8320,1,0,0,3,7,1230,500,1977,0,98023,47.327,-122.361,1840,9800
6127011000,20140508,5.38e+5,4,2.5,2550,4630,2,0,0,3,7,2550,0,2005,0,98075,47.5928,-122.004,2550,5151
128500260,20140508,2.62e+5,4,2.5,2020,6236,2,0,0,3,7,2020,0,2002,0,98001,47.2796,-122.247,1940,5076
6706600090,20140508,4.02e+5,3,2.5,1960,8000,1,0,0,4,7,1290,670,1977,0,98034,47.7249,-122.178,1960,8000
4302201130,20140508,2.05e+5,2,1,720,5040,1,0,0,3,6,720,0,1955,0,98106,47.5267,-122.36,1357,5120
5332200026,20140508,5.54e+5,2,2.5,1360,1349,2,0,0,3,8,1050,310,1997,0,98112,47.6254,-122.292,1430,4400
8857600820,20140508,2.60e+5,4,1.5,2130,8800,1,0,0,3,7,1100,1030,1962,0,98032,47.383,-122.288,1480,8120
5468730110,20140508,2.70e+5,4,2.5,1810,6509,2,0,0,3,7,1810,0,1994,0,98042,47.3531,-122.143,1760,7417
9151600541,20140508,7.19e+5,3,2.5,1690,4500,1.5,0,1,4,8,1690,0,1928,0,98116,47.5841,-122.383,2140,7200
5420800010,20140508,2.66e+5,3,2.5,1940,8547,1,0,0,3,7,1460,480,1989,0,98030,47.3491,-122.177,1750,7803
5468780250,20140508,3.26e+5,4,2.5,2320,6270,2,0,0,3,8,2320,0,2004,0,98042,47.3501,-122.14,2150,6270
5703000050,20140508,5.45e+5,3,2.25,1780,191228,2,0,2,3,8,1780,0,1988,0,98045,47.4575,-121.748,2440,87120
1200019,20140508,6.48e+5,4,1.75,2060,26036,1,0,0,4,8,1160,900,1947,0,98166,47.4444,-122.351,2590,21891
5700001640,20140508,1.04e+6,4,1,3410,5000,2,0,0,5,8,2190,1220,1910,0,98144,47.5807,-122.291,2550,5000
1026069120,20140508,5.90e+5,2,3,3160,66646,2,0,0,3,7,3160,0,1993,0,98077,47.7479,-122.034,3140,38790
6624010170,20140508,2.46e+5,3,1.75,1390,7399,1,0,0,4,7,1390,0,1975,0,98031,47.4183,-122.182,1460,7800
6813600415,20140508,5.15e+5,2,1,1060,4960,1,0,0,3,7,1060,0,1926,0,98103,47.6896,-122.331,1420,4960
7212650650,20140508,2.95e+5,3,2.5,1920,7229,2,0,0,3,8,1920,0,1993,0,98003,47.2659,-122.31,2310,8009
6381500035,20140508,3.85e+5,3,1.75,1890,9920,1,0,0,3,7,1230,660,1944,0,98125,47.7327,-122.306,1380,9086
4440400125,20140508,2.28e+5,4,1.75,2000,6120,1,0,0,3,7,1100,900,1965,0,98178,47.5035,-122.258,1880,6120
1336800240,20140508,1.75e+6,6,3,3510,5760,2.5,0,0,4,10,3510,0,1906,0,98112,47.6263,-122.312,3450,5760
2652500070,20140508,6.36e+5,2,1.75,1230,3600,1.5,0,0,5,7,1230,0,1925,0,98119,47.6423,-122.361,1210,4500
518500210,20140508,8.69e+5,3,2.5,2920,3942,3,0,0,3,10,2920,0,2008,0,98056,47.531,-122.204,2920,3942
179001046,20140508,2.29e+5,3,2.5,1190,3000,2,0,0,3,7,1190,0,2002,0,98178,47.4933,-122.275,1190,3000
1474000050,20140508,4.37e+5,3,1.75,1310,9282,1,0,0,4,7,1310,0,1976,0,98052,47.6844,-122.111,1310,8748
3528900086,20140508,1.31e+6,5,3.25,2800,3200,1.5,0,0,5,10,1910,890,1932,2002,98109,47.6421,-122.35,2450,3500
6633900170,20140508,5.95e+5,3,2.5,1750,3354,2,0,0,4,7,1750,0,1991,0,98033,47.6953,-122.199,1750,4286
9264950420,20140508,3.48e+5,4,2.5,2460,7350,2,0,0,3,9,2460,0,1989,0,98023,47.3061,-122.349,2390,8568
1823069102,20140508,5.24e+5,3,2.25,2430,73151,1,0,0,3,8,2430,0,1974,0,98059,47.4749,-122.092,2800,39250
2473100635,20140508,2.98e+5,3,2,1240,10800,1,0,0,3,7,1240,0,1967,2010,98058,47.449,-122.155,1480,8840
7957600025,20140508,2.45e+5,3,1.5,1260,7964,1,0,0,4,7,1260,0,1955,0,98148,47.4307,-122.334,1510,8776
7199340650,20140508,4.25e+5,3,1.75,1460,7700,1,0,0,3,7,1460,0,1979,0,98052,47.6981,-122.127,1720,7280
3356402020,20140508,2.30e+5,3,1,1390,16000,1,0,0,4,6,1390,0,1960,0,98001,47.2898,-122.251,1420,10000
8818400450,20140508,9.30e+5,3,3.25,2640,4080,2,0,0,3,9,1840,800,1912,2000,98105,47.6636,-122.326,1990,4080
5537200043,20140508,2.11e+5,4,1,2100,9200,1,0,0,3,7,1050,1050,1959,0,98168,47.476,-122.292,1540,10033
6431000206,20140508,8.35e+5,4,2,1910,6960,1.5,0,0,5,8,1910,0,1941,0,98103,47.6893,-122.348,1360,3300
9544700500,20140508,7.85e+5,3,2.75,3010,1842,2,0,0,3,9,3010,0,2011,0,98075,47.5836,-121.994,2950,4200
1931300977,20140508,5.00e+5,3,1.75,1410,1197,3,0,0,3,8,1410,0,2012,0,98103,47.6558,-122.348,1350,2512
8946390040,20140508,3.75e+5,6,2.25,3206,5793,2,0,0,3,7,3206,0,2012,0,98032,47.369,-122.287,2527,5804
1498301048,20140508,3.22e+5,2,1.25,860,1277,2,0,0,3,7,860,0,2007,0,98144,47.5842,-122.314,1280,1265
3362401763,20140508,4.42e+5,2,1.5,1020,1060,3,0,0,3,8,1020,0,2008,0,98103,47.6801,-122.348,1340,1415
