"price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","condition","grade","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15","rec_built","rec_renovated"
775000,2,2.5,2680,7392,1,0,3,9,2004,0,"98053",47.717,-122.026,2315,7045,1,0
365000,3,2.5,2200,7350,1,0,5,8,1988,0,"98058",47.4395,-122.161,2350,7557,0,0
332000,4,2.5,2530,9933,2,0,3,8,1990,0,"98092",47.2654,-122.216,2140,9933,0,0
784000,3,2.5,2850,7130,2,0,3,10,1980,0,"98122",47.603,-122.289,2280,6459,0,0
560000,3,2.5,1900,8744,2,0,3,8,1987,0,"98074",47.62,-122.043,2030,8744,0,0
9e+05,3,1,1330,77972,1,0,3,7,1928,1954,"98033",47.6891,-122.159,1340,17689,0,0
531000,2,3,1270,1175,2,0,3,8,2000,0,"98103",47.6634,-122.34,1290,1800,0,0
831000,4,3,2170,4000,2,0,4,9,1982,2011,"98112",47.6196,-122.292,1670,4000,0,1
210000,3,1,1340,306848,1,0,3,5,1953,0,"98019",47.7534,-121.912,1800,128066,0,0
755000,4,2.5,2120,10202,1,0,4,7,1960,0,"98005",47.5858,-122.17,1570,10762,0,0
705000,3,2.5,2490,4343,2,0,3,9,2003,0,"98029",47.5493,-121.993,2130,4106,1,0
580000,2,1,2540,7000,1,0,5,8,1942,0,"98118",47.5259,-122.261,2160,6000,0,0
410000,3,2.25,1800,36704,1,0,4,8,1978,0,"98027",47.4688,-122.013,2730,36404,0,0
485000,4,3,2340,7048,1,0,4,8,1979,0,"98034",47.7306,-122.227,1440,8088,0,0
4e+05,2,1.75,2110,9519,1,0,2,7,1948,0,"98155",47.7504,-122.306,1480,9519,0,0
549000,2,1,1140,5400,1,0,5,7,1908,0,"98112",47.6205,-122.294,1520,4800,0,0
405000,2,3,1410,1240,2,0,3,8,2006,0,"98136",47.5221,-122.39,1410,1273,1,0
232000,2,1,1200,8063,1,0,4,6,1958,0,"98198",47.4204,-122.324,1200,7500,0,0
650000,3,1.5,2160,9000,1,0,4,8,1949,0,"98177",47.7241,-122.369,3010,9000,0,0
524000,3,1.75,1560,5520,1,0,4,6,1944,0,"98199",47.6515,-122.399,1470,6000,0,0
670000,3,2.5,1680,2000,3,0,3,9,1909,1998,"98105",47.6604,-122.29,1950,5000,0,1
385000,5,2.5,3090,12750,1,0,3,8,1968,0,"98023",47.3408,-122.335,1760,25919,0,0
737000,4,2.5,3180,21904,2,0,3,9,2000,0,"98059",47.515,-122.117,3715,29170,0,0
184000,3,1.75,1490,10125,1,0,4,7,1962,0,"98001",47.3075,-122.284,2488,4981,0,0
570000,3,2.25,2010,6000,1,0,3,8,1975,0,"98052",47.6912,-122.115,2080,8260,0,0
501000,4,1,2070,7519,1,0,3,7,1963,0,"98008",47.632,-122.119,1730,7519,0,0
4e+05,2,1,840,5510,1,0,3,7,1955,0,"98136",47.5247,-122.391,1630,5510,0,0
220000,4,1.5,1240,9600,1,0,3,7,1971,0,"98023",47.3206,-122.397,1240,9592,0,0
3e+05,3,2,1050,10072,1,0,3,7,1986,0,"98019",47.7341,-121.976,1130,10087,0,0
526000,5,1.75,2550,71874,1,0,5,7,1960,0,"98027",47.4845,-122.08,2170,51400,0,0
740000,4,1.75,2010,3600,1.5,0,3,7,1902,0,"98119",47.6337,-122.371,2010,3600,0,0
206000,2,1,810,7158,1,0,5,6,1944,0,"98168",47.4882,-122.325,1090,7158,0,0
2280000,7,8,13540,307752,3,0,3,12,1999,0,"98053",47.6675,-121.986,4850,217800,0,0
310000,3,2.5,1880,7838,2,0,3,7,1994,0,"98055",47.4439,-122.19,1810,7915,0,0
418000,3,2,1410,6030,1.5,0,4,7,1930,0,"98103",47.6994,-122.347,1410,6300,0,0
449000,4,2,1480,3844,1.5,0,5,7,1928,0,"98133",47.7042,-122.352,1480,3844,0,0
245000,3,1.75,1920,9306,1,0,3,7,1984,0,"98001",47.3319,-122.267,1860,8458,0,0
8e+05,3,2.5,3240,7857,2,0,3,10,1994,0,"98075",47.5857,-122.038,2970,7857,0,0
250000,3,2,1550,15040,1,0,4,6,1958,0,"98059",47.4873,-122.099,1510,41416,0,0
497000,6,2.75,3200,9200,1,0,4,8,1953,0,"98146",47.492,-122.364,2220,9500,0,0
1430000,2,2.5,2220,4000,2,0,3,9,2000,0,"98112",47.6364,-122.28,1870,4000,0,0
615000,4,1.75,2300,11700,1,0,4,9,1977,0,"98052",47.6331,-122.094,2840,12000,0,0
619000,3,2,1800,5000,1,0,4,7,1942,0,"98115",47.6738,-122.297,1800,5000,0,0
488000,4,1.75,2010,9211,1,0,3,7,1977,0,"98034",47.7206,-122.171,1840,8500,0,0
632000,4,2.5,2440,6651,2,0,3,9,2014,0,"98117",47.6971,-122.371,1350,7653,1,0
555000,3,2.5,1940,3211,2,0,3,8,2009,0,"98027",47.5644,-122.093,1880,3078,1,0
340000,2,1.5,1160,1438,2,0,3,7,2001,0,"98144",47.5917,-122.295,1220,1740,1,0
890000,4,4.25,4420,5750,2,0,3,10,2006,0,"98027",47.5404,-122.073,4420,5750,1,0
367000,3,3,1571,2017,3,0,3,8,2008,0,"98125",47.7338,-122.309,1520,1497,1,0
478000,3,2.5,3040,4535,2,0,3,9,2007,0,"98056",47.51,-122.185,2670,4666,1,0
419000,2,2.5,1590,1426,2,0,3,8,2014,0,"98029",47.5441,-122.013,1590,1426,1,0
712000,4,2.5,2450,4247,2,0,3,8,2013,0,"98052",47.7048,-122.113,2970,4685,1,0
397000,4,2,1440,7680,1,0,3,7,1971,0,"98034",47.7245,-122.2,1460,9660,0,0
609000,4,2.5,2150,37981,2,0,3,9,1985,0,"98052",47.7227,-122.098,2450,37981,0,0
650000,3,1.5,1630,7475,1,0,3,7,1940,0,"98115",47.6725,-122.272,2320,7475,0,0
1140000,4,2.75,3370,8103,1,0,3,9,1970,2014,"98136",47.5232,-122.383,2120,6360,0,1
425000,4,2,1520,7983,1,0,5,7,1967,0,"98034",47.7357,-122.193,1520,7783,0,0
219000,2,1,900,5160,1,0,3,6,1952,0,"98106",47.525,-122.356,900,5160,0,0
390000,3,1.75,1260,6500,1,0,4,7,1966,0,"98008",47.6224,-122.116,1500,7700,0,0
475000,6,3,3470,117612,1.5,0,3,7,1924,0,"98028",47.7663,-122.234,2120,17100,0,0
272000,3,2.5,1650,13816,2,0,3,7,1998,0,"98014",47.6553,-121.912,1650,15144,0,0
362000,3,2.25,1640,14374,1,0,4,7,1963,0,"98148",47.4476,-122.332,2020,10500,0,0
175000,3,1,1010,7034,1,0,3,7,1954,0,"98055",47.49,-122.22,1440,10994,0,0
460000,2,2.25,1230,929,2,0,3,8,2004,0,"98122",47.6191,-122.301,1270,1370,1,0
455000,5,2.5,2240,7770,1,0,3,7,1978,0,"98034",47.7198,-122.171,1820,7770,0,0
610000,4,3,2450,10117,1,0,5,8,1967,0,"98006",47.5694,-122.132,2530,10125,0,0
613000,4,2,2060,5000,1,0,3,7,1949,2013,"98117",47.6992,-122.379,1280,5000,0,1
314000,3,1,1510,6083,1,0,4,6,1940,0,"98115",47.6966,-122.324,1510,5712,0,0
575000,3,1.75,2130,6500,1,0,3,8,1954,0,"98199",47.6424,-122.386,2020,5000,0,0
1230000,4,2.25,3490,6906,2,0,4,10,1928,0,"98199",47.6424,-122.407,2540,6223,0,0
599000,4,2.25,2260,29930,2,0,4,8,1977,0,"98006",47.5689,-122.126,2770,29930,0,0
365000,3,1.5,1310,8160,1,0,3,7,1950,0,"98133",47.7291,-122.339,1090,7560,0,0
518000,3,1.5,1430,8000,1,0,4,7,1956,0,"98007",47.5874,-122.136,1450,8000,0,0
562000,5,2.25,3040,8111,2,0,3,8,1984,0,"98052",47.7157,-122.103,2020,8304,0,0
650000,5,3.5,3480,36615,2,0,4,8,1983,0,"98075",47.5741,-122.05,2540,35910,0,0
484000,2,1.75,1660,6000,1,0,3,7,1942,0,"98105",47.6624,-122.291,1660,4000,0,0
387000,3,1,1230,9568,1,0,5,7,1962,0,"98056",47.539,-122.179,1270,9575,0,0
465000,3,2.25,1970,11088,1,0,4,8,1967,0,"98155",47.7651,-122.277,1970,10470,0,0
656000,4,3.5,3380,8330,2,0,3,8,2000,0,"98177",47.7741,-122.379,2220,8330,0,0
533000,5,2.75,1800,3780,1.5,0,3,7,1926,0,"98103",47.6831,-122.343,1400,3780,0,0
385000,3,1.75,1900,5520,1,0,3,7,1982,0,"98118",47.5549,-122.292,1330,5196,0,0
499000,2,1.75,1170,2400,1,0,4,7,1903,0,"98103",47.6653,-122.333,1570,3919,0,0
1050000,3,2.5,2200,1970,2,0,3,9,2008,0,"98102",47.6426,-122.327,1890,3505,1,0
191000,3,1.5,800,8850,1,0,4,6,1959,0,"98023",47.3266,-122.348,820,8775,0,0
5e+05,3,2.5,1480,1171,3,0,3,8,2006,0,"98112",47.62,-122.3,1480,1231,1,0
370000,3,2,1270,1320,3,0,3,8,2006,0,"98103",47.6937,-122.342,1370,1320,1,0
1800000,5,5,4490,10279,2,0,3,10,2013,0,"98004",47.5974,-122.202,2490,10279,1,0
495000,3,1,990,6000,1,0,3,6,1943,0,"98105",47.6718,-122.267,1250,6000,0,0
510000,4,2.5,2430,5203,2,0,3,8,2003,0,"98155",47.7402,-122.317,2260,7474,1,0
1150000,4,4,4460,103382,2,0,3,11,2001,0,"98053",47.634,-121.997,3470,88519,1,0
253000,3,1.75,1250,10122,1,0,3,7,1994,0,"98010",47.3277,-122.001,1980,10175,0,0
630000,3,2.5,2680,327135,2,0,3,8,1995,0,"98010",47.3783,-122.003,2020,60080,0,0
310000,3,1.75,2070,37904,1,0,4,7,1973,0,"98058",47.425,-122.186,2011,19110,0,0
460000,3,2,1760,9055,2,0,4,7,1985,0,"98052",47.6534,-122.128,2010,9383,0,0
675000,3,1.75,1680,10500,1,0,4,8,1959,0,"98005",47.6098,-122.169,2250,10400,0,0
526000,2,2,1550,2400,1.5,0,4,7,1900,0,"98103",47.654,-122.346,1180,1224,0,0
560000,3,3,4120,60392,2,0,3,9,1994,0,"98014",47.6804,-121.913,2770,64033,0,0
415000,4,3,1830,9548,2,0,3,7,1991,0,"98028",47.7379,-122.224,1740,9750,0,0
3200000,7,4.5,6210,8856,2.5,0,5,11,1910,0,"98109",47.6307,-122.354,2940,5400,0,0
420000,2,1.5,1040,3500,1.5,0,4,6,1904,0,"98144",47.588,-122.304,1340,1213,0,0
535000,3,1.75,2720,149410,1.5,0,3,9,1988,0,"98014",47.7092,-121.892,2560,149410,0,0
750000,4,2.75,2600,6050,2,0,5,8,1949,0,"98116",47.5656,-122.4,1990,6050,0,0
230000,3,2.5,1920,9180,2,0,3,8,1988,0,"98055",47.4818,-122.231,1930,7252,0,0
581000,4,2,2510,13695,1,0,4,7,1961,2001,"98033",47.7005,-122.174,1220,12500,0,1
475000,2,1,820,2723,1,0,3,7,1921,0,"98103",47.6623,-122.339,1370,3850,0,0
428000,2,2,1350,3900,1,0,3,8,2003,0,"98053",47.7094,-122.03,1440,3900,1,0
599000,3,1.75,1960,4788,1,0,4,7,1920,0,"98115",47.6746,-122.312,1960,3960,0,0
492000,4,2.5,3305,16164,1.5,0,5,7,1922,1956,"98133",47.7563,-122.338,1620,8883,0,0
9e+05,5,3.75,4130,226076,2,0,3,9,1985,0,"98077",47.715,-122.065,4130,55321,0,0
705000,4,2.5,2650,4316,1.5,0,3,8,1905,2013,"98116",47.5866,-122.389,1690,5625,0,1
3e+05,2,1,760,3001,1,0,3,6,1913,0,"98144",47.5874,-122.311,1750,5000,0,0
265000,5,1.5,1500,7112,1,0,5,6,1920,0,"98166",47.4692,-122.35,1200,7112,0,0
1500000,6,2.5,3560,6480,2.5,0,4,11,1914,0,"98112",47.627,-122.304,2780,6480,0,0
1340000,3,3,2960,5500,2,0,3,10,1937,1990,"98199",47.6356,-122.402,2960,5876,0,0
240000,3,2,1410,7566,1,0,3,7,1985,0,"98030",47.3674,-122.182,1570,7210,0,0
361000,2,1,820,6400,1,0,4,7,1944,0,"98126",47.55,-122.379,1490,6400,0,0
440000,3,1.75,1500,6180,1,0,4,6,1947,0,"98118",47.5689,-122.284,1740,6180,0,0
675000,4,4,3680,18804,2,0,3,10,1990,0,"98074",47.6193,-122.014,3200,15954,0,0
560000,3,2,1860,13374,1,0,3,8,1985,0,"98027",47.5397,-122.054,1960,9797,0,0
160000,2,1,1040,13100,1,0,5,6,1912,0,"98032",47.3877,-122.234,910,5080,0,0
210000,3,1.5,1380,11130,1,0,3,7,1960,0,"98003",47.3146,-122.323,1380,9200,0,0
227000,3,1.75,1640,10762,1,0,3,7,1988,0,"98042",47.3586,-122.074,1680,10259,0,0
410000,4,2.75,2140,13000,1,0,3,7,1968,0,"98028",47.7683,-122.252,2360,11000,0,0
690000,3,2,1760,6428,1,0,4,7,1942,0,"98199",47.6388,-122.397,1760,6004,0,0
405000,3,2.25,1660,8307,1,0,4,8,1961,0,"98133",47.7575,-122.352,2510,7800,0,0
335000,3,2,1570,7200,1,0,4,7,1952,0,"98155",47.7501,-122.314,1410,7434,0,0
1040000,4,3.5,3900,8391,2,0,3,10,2006,0,"98033",47.6979,-122.205,3820,12268,1,0
495000,4,2.75,2656,21195,2,0,3,9,2014,0,"98001",47.3162,-122.272,1860,16510,1,0
365000,5,2.75,2410,5003,1,0,3,7,2008,0,"98118",47.5298,-122.274,1590,5003,1,0
417000,3,2.25,1606,1452,3,0,3,8,2009,0,"98125",47.7175,-122.284,1516,1939,1,0
340000,2,1,820,681,3,0,3,8,2006,0,"98103",47.6619,-122.352,820,1156,1,0
980000,5,2.5,3160,11470,1,0,4,9,1971,0,"98040",47.5368,-122.216,3260,11470,0,0
258000,4,1.75,1730,8320,1,0,3,7,1977,0,"98023",47.327,-122.361,1840,9800,0,0
538000,4,2.5,2550,4630,2,0,3,7,2005,0,"98075",47.5928,-122.004,2550,5151,1,0
262000,4,2.5,2020,6236,2,0,3,7,2002,0,"98001",47.2796,-122.247,1940,5076,1,0
402000,3,2.5,1960,8000,1,0,4,7,1977,0,"98034",47.7249,-122.178,1960,8000,0,0
205000,2,1,720,5040,1,0,3,6,1955,0,"98106",47.5267,-122.36,1357,5120,0,0
554000,2,2.5,1360,1349,2,0,3,8,1997,0,"98112",47.6254,-122.292,1430,4400,0,0
260000,4,1.5,2130,8800,1,0,3,7,1962,0,"98032",47.383,-122.288,1480,8120,0,0
270000,4,2.5,1810,6509,2,0,3,7,1994,0,"98042",47.3531,-122.143,1760,7417,0,0
719000,3,2.5,1690,4500,1.5,0,4,8,1928,0,"98116",47.5841,-122.383,2140,7200,0,0
266000,3,2.5,1940,8547,1,0,3,7,1989,0,"98030",47.3491,-122.177,1750,7803,0,0
326000,4,2.5,2320,6270,2,0,3,8,2004,0,"98042",47.3501,-122.14,2150,6270,1,0
545000,3,2.25,1780,191228,2,0,3,8,1988,0,"98045",47.4575,-121.748,2440,87120,0,0
648000,4,1.75,2060,26036,1,0,4,8,1947,0,"98166",47.4444,-122.351,2590,21891,0,0
1040000,4,1,3410,5000,2,0,5,8,1910,0,"98144",47.5807,-122.291,2550,5000,0,0
590000,2,3,3160,66646,2,0,3,7,1993,0,"98077",47.7479,-122.034,3140,38790,0,0
246000,3,1.75,1390,7399,1,0,4,7,1975,0,"98031",47.4183,-122.182,1460,7800,0,0
515000,2,1,1060,4960,1,0,3,7,1926,0,"98103",47.6896,-122.331,1420,4960,0,0
295000,3,2.5,1920,7229,2,0,3,8,1993,0,"98003",47.2659,-122.31,2310,8009,0,0
385000,3,1.75,1890,9920,1,0,3,7,1944,0,"98125",47.7327,-122.306,1380,9086,0,0
228000,4,1.75,2000,6120,1,0,3,7,1965,0,"98178",47.5035,-122.258,1880,6120,0,0
1750000,6,3,3510,5760,2.5,0,4,10,1906,0,"98112",47.6263,-122.312,3450,5760,0,0
636000,2,1.75,1230,3600,1.5,0,5,7,1925,0,"98119",47.6423,-122.361,1210,4500,0,0
869000,3,2.5,2920,3942,3,0,3,10,2008,0,"98056",47.531,-122.204,2920,3942,1,0
229000,3,2.5,1190,3000,2,0,3,7,2002,0,"98178",47.4933,-122.275,1190,3000,1,0
437000,3,1.75,1310,9282,1,0,4,7,1976,0,"98052",47.6844,-122.111,1310,8748,0,0
1310000,5,3.25,2800,3200,1.5,0,5,10,1932,2002,"98109",47.6421,-122.35,2450,3500,0,1
595000,3,2.5,1750,3354,2,0,4,7,1991,0,"98033",47.6953,-122.199,1750,4286,0,0
348000,4,2.5,2460,7350,2,0,3,9,1989,0,"98023",47.3061,-122.349,2390,8568,0,0
524000,3,2.25,2430,73151,1,0,3,8,1974,0,"98059",47.4749,-122.092,2800,39250,0,0
298000,3,2,1240,10800,1,0,3,7,1967,2010,"98058",47.449,-122.155,1480,8840,0,1
245000,3,1.5,1260,7964,1,0,4,7,1955,0,"98148",47.4307,-122.334,1510,8776,0,0
425000,3,1.75,1460,7700,1,0,3,7,1979,0,"98052",47.6981,-122.127,1720,7280,0,0
230000,3,1,1390,16000,1,0,4,6,1960,0,"98001",47.2898,-122.251,1420,10000,0,0
930000,3,3.25,2640,4080,2,0,3,9,1912,2000,"98105",47.6636,-122.326,1990,4080,0,1
211000,4,1,2100,9200,1,0,3,7,1959,0,"98168",47.476,-122.292,1540,10033,0,0
835000,4,2,1910,6960,1.5,0,5,8,1941,0,"98103",47.6893,-122.348,1360,3300,0,0
785000,3,2.75,3010,1842,2,0,3,9,2011,0,"98075",47.5836,-121.994,2950,4200,1,0
5e+05,3,1.75,1410,1197,3,0,3,8,2012,0,"98103",47.6558,-122.348,1350,2512,1,0
375000,6,2.25,3206,5793,2,0,3,7,2012,0,"98032",47.369,-122.287,2527,5804,1,0
322000,2,1.25,860,1277,2,0,3,7,2007,0,"98144",47.5842,-122.314,1280,1265,1,0
442000,2,1.5,1020,1060,3,0,3,8,2008,0,"98103",47.6801,-122.348,1340,1415,1,0
429000,3,1,1620,30736,1.5,0,4,7,1911,1977,"98006",47.5719,-122.119,2440,28826,0,0
352000,3,2.25,1640,11050,1,0,4,8,1972,0,"98059",47.4723,-122.121,1870,11050,0,0
840000,4,3.5,3810,13592,1,0,3,9,2013,0,"98056",47.5134,-122.2,3230,9311,1,0
225000,4,1,1430,8355,1.5,0,4,7,1983,0,"98092",47.3178,-122.174,1550,7938,0,0
920000,4,3,3750,11025,2,0,3,10,1976,0,"98074",47.6367,-122.059,2930,12835,0,0
403000,4,2.5,2600,11951,2,0,3,10,1988,0,"98023",47.3053,-122.34,2820,12093,0,0
565000,4,2.25,2470,7447,2,0,3,8,1984,0,"98155",47.7514,-122.286,2270,7400,0,0
445000,4,2,1650,6000,1,0,5,7,1959,0,"98144",47.5834,-122.307,1540,6000,0,0
195000,2,1,720,18000,1,0,3,6,1950,0,"98178",47.5054,-122.261,1250,7925,0,0
387000,3,2.25,1445,1606,2,0,3,7,2003,0,"98027",47.5348,-122.072,1410,1286,1,0
490000,2,1,1840,3300,1.5,0,4,6,1910,0,"98107",47.6757,-122.362,1320,4000,0,0
304000,3,1.5,1060,10464,1,0,4,7,1973,0,"98034",47.7313,-122.229,1420,10464,0,0
270000,3,1.5,1500,6337,1,0,5,7,1953,0,"98125",47.7276,-122.312,1420,6337,0,0
525000,3,2.5,2030,6970,2,0,4,8,1991,0,"98029",47.5718,-121.999,2000,6140,0,0
260000,3,2,1920,8075,1,0,4,7,1969,0,"98023",47.3092,-122.375,1920,7826,0,0
248000,4,3,2163,5883,2,0,3,7,2006,0,"98001",47.2734,-122.251,1700,10143,1,0
532000,5,3,3480,57499,1,0,4,8,1976,0,"98027",47.4574,-122.024,2020,40946,0,0
512000,3,2,1400,7293,1,0,4,7,1963,0,"98008",47.586,-122.12,1600,7960,0,0
583000,4,2.5,2660,4000,2,0,3,8,2001,0,"98053",47.6876,-122.038,2330,4517,1,0
311000,4,2.25,2130,8078,1,0,4,7,1977,0,"98055",47.4482,-122.209,2300,8112,0,0
325000,3,2.25,1352,1694,3,0,3,8,2007,0,"98125",47.7265,-122.315,1439,1387,1,0
759000,3,2.25,2950,78843,1.5,0,3,9,2006,0,"98075",47.5917,-122.068,3880,78843,1,0
491000,3,1.75,1750,11340,1,0,4,7,1987,0,"98074",47.6099,-122.058,2310,11340,0,0
360000,2,1,1420,81892,1,0,3,7,1956,0,"98055",47.4342,-122.195,1490,1863,0,0
330000,4,2.5,1940,3784,2,0,3,8,2003,0,"98058",47.4513,-122.119,1940,4499,1,0
481000,3,2,1410,4800,1,0,3,7,1940,0,"98117",47.6852,-122.378,1190,3840,0,0
251000,3,1.75,1220,7250,1,0,3,7,1962,0,"98045",47.4887,-121.784,1700,15251,0,0
833000,4,2.75,3780,10308,2,0,3,10,1999,0,"98075",47.589,-121.983,3500,10740,0,0
543000,4,2.5,2330,14289,2,0,4,8,1978,0,"98007",47.5916,-122.148,2210,12823,0,0
851000,3,2.5,3560,107290,2,0,3,10,1987,0,"98053",47.6652,-122.049,3660,89298,0,0
253000,3,1,1030,6127,1,0,3,7,1947,0,"98125",47.7192,-122.32,1610,6127,0,0
225000,3,2.5,2000,9202,2,0,4,7,1992,0,"98038",47.3516,-122.057,1750,7827,0,0
1700000,5,4.5,5190,23716,2,0,3,11,1987,2000,"98040",47.5846,-122.223,4460,22748,0,1
557000,4,2.5,2840,4500,2,0,3,8,2012,0,"98028",47.7678,-122.237,2840,4939,1,0
324000,3,2.25,998,904,2,0,3,7,2007,0,"98117",47.6983,-122.367,998,1110,1,0
550000,5,2.75,3060,7015,1,0,5,8,1979,0,"98146",47.5052,-122.372,2190,7600,0,0
875000,4,2,2520,6000,1,0,3,8,1921,2007,"98103",47.6767,-122.35,1580,3720,0,1
395000,3,2.5,1350,1250,3,0,3,8,2006,0,"98136",47.5491,-122.387,1350,886,1,0
1230000,4,4.5,5420,101930,1,0,3,11,2001,0,"98053",47.6561,-122.005,4760,101930,1,0
885000,4,2.5,2830,5000,2,0,3,9,1995,0,"98105",47.6597,-122.29,1950,5000,0,0
453000,3,2.5,2010,2287,2,0,3,8,2014,0,"98029",47.5517,-121.998,1690,1662,1,0
927000,4,2.75,3300,12090,2,0,3,8,1953,0,"98004",47.6294,-122.218,3180,12239,0,0
9e+05,4,3.25,4700,38412,2,0,3,10,1978,0,"98005",47.6445,-122.167,3640,35571,0,0
1580000,5,2.75,3650,20150,1,0,4,10,1975,0,"98004",47.6215,-122.224,3220,19800,0,0
750000,4,2.5,2980,4930,2,0,3,9,2000,0,"98006",47.5445,-122.12,2980,6099,0,0
582000,4,1.75,2120,4650,1,0,3,7,1951,0,"98117",47.6964,-122.4,2070,6487,0,0
1320000,4,3.5,3460,3997,2,0,3,10,2004,0,"98103",47.6718,-122.329,1860,4000,1,0
373000,5,3,2480,10090,1,0,3,7,2004,0,"98178",47.4964,-122.263,2290,9900,1,0
360000,4,2,1730,5500,1,0,5,7,1943,0,"98106",47.5304,-122.353,1080,4900,0,0
1020000,3,2.5,2920,34527,1,0,4,9,1954,1983,"98116",47.5799,-122.4,2480,7933,0,0
225000,3,1,990,8012,1,0,4,7,1966,0,"98058",47.4557,-122.181,1260,9060,0,0
647000,4,2.5,3040,6887,2,0,3,8,1999,0,"98074",47.6073,-122.015,2790,7196,0,0
185000,3,1.5,1370,8470,1,0,4,7,1961,0,"98092",47.2874,-122.192,1710,8800,0,0
335000,3,2.5,1940,4927,2,0,3,8,2004,0,"98058",47.4479,-122.12,2070,4892,1,0
770000,3,1.75,1720,5000,1,0,3,9,1954,2014,"98122",47.6157,-122.29,2120,4188,0,1
5e+05,3,1,980,6380,1,0,3,7,1941,0,"98115",47.692,-122.308,1390,6380,0,0
270000,3,1,1830,8209,1,0,3,7,1942,0,"98028",47.7439,-122.228,2150,12000,0,0
357000,4,2.5,2380,7066,2,0,4,7,1997,0,"98031",47.3982,-122.172,2310,8127,0,0
5e+05,2,2.25,1290,1334,3,0,3,8,2007,0,"98107",47.6719,-122.382,1350,1334,1,0
