"","price"
"313",389400
"314",2348000
"315",441200
"316",438800
"317",716200
"318",650000
"319",1114000
"320",620800
"321",2454000
"322",529000
"323",213400
"324",366800
"325",1136000
"326",596600
"327",962400
"328",418600
"329",521200
"330",638600
"331",575000
"332",395400
"333",463000
"334",561600
"335",200600
"336",297600
"337",1381400
"338",420000
"339",356200
"340",245200
"341",1882000
"342",224000
"343",592000
"344",399800
"345",452800
"346",554200
"347",679400
"348",1053000
"349",862800
"350",479800
"351",410800
"352",660400
"353",834000
"354",678600
"355",162200
"356",334600
"357",554600
"358",680800
"359",225800
"360",309200
"361",346800
"362",479200
"363",465400
"364",340000
"365",488600
"366",323400
"367",699000
"368",816200
"369",651400
"370",338200
"371",448800
"372",302600
"373",346200
"374",494000
"375",812400
"376",188400
"377",659400
"378",705600
"379",931600
"380",335000
"381",542400
"382",315400
"383",675800
"384",303400
"385",330600
"386",479000
"387",757600
"388",618600
"389",521600
"390",544600
"391",1404000
"392",337400
"393",447000
"394",1186000
"395",308800
"396",607600
"397",434800
"398",219000
"399",250800
"400",354200
"401",599200
"402",356400
"403",424800
"404",496600
"405",412800
"406",458000
"407",513000
"408",302600
"409",546800
"410",306200
"411",581600
"412",731600
"413",638000
"414",258600
"415",728600
"416",227400
"417",1290000
"418",335600
"419",368800
"420",744000
"421",353800
"422",605000
"423",482200
"424",329200
"425",427000
"426",339400
"427",418600
"428",507400
"429",497400
"430",255800
"431",405200
"432",225000
"433",928800
"434",268600
"435",697000
"436",897600
"437",196800
"438",373800
"439",353200
"440",1198600
"441",585400
"442",407200
"443",283600
"444",358200
"445",418600
"446",422800
"447",286400
"448",768000
"449",778200
"450",570400
"451",316400
"452",664600
"453",491400
"454",849000
"455",281800
"456",515400
"457",372200
"458",289200
"459",553400
"460",241600
"461",481200
"462",263800
"463",612200
"464",401600
"465",424800
"466",470200
"467",568800
"468",369200
"469",475800
"470",526000
"471",637600
"472",402000
"473",504400
"474",702000
"475",291400
"476",1420000
"477",323000
"478",426400
"479",647600
"480",462200
"481",348800
"482",351400
"483",642800
"484",216600
"485",600800
"486",595800
"487",391600
"488",702400
"489",351400
"490",393200
"491",698000
"492",465400
"493",439200
"494",233800
"495",876600
"496",270200
"497",452000
"498",961400
"499",676200
"500",305600
"501",518600
"502",344800
"503",191200
"504",556000
"505",666200
"506",505200
"507",609600
"508",857800
"509",348400
"510",1426000
"511",387400
"512",238200
"513",448000
"514",452600
"515",534200
"516",253000
"517",695200
"518",767600
"519",304200
"520",263000
"521",535400
"522",158600
"523",403000
"524",293400
"525",427400
"526",491000
"527",554200
"528",436400
"529",655000
"530",419600
"531",530400
"532",529600
"533",794600
"534",822800
"535",252600
"536",1224000
"537",348200
"538",397600
"539",479200
"540",466600
"541",744200
"542",257600
"543",283600
"544",269400
"545",679200
"546",874000
"547",352200
"548",247200
"549",218600
"550",355200
"551",734200
"552",1216600
"553",349600
"554",814600
"555",945000
"556",557200
"557",348800
"558",646400
"559",479800
"560",1477000
"561",299000
"562",480200
"563",664600
"564",340400
"565",572400
"566",340800
"567",349000
"568",458400
"569",342000
"570",470000
"571",221200
"572",478800
"573",273600
"574",289400
"575",1110000
"576",977000
"577",529600
"578",731600
"579",634600
"580",465200
"581",561600
"582",547800
"583",340000
"584",330000
"585",244800
"586",395800
"587",217400
"588",303400
"589",500400
"590",252200
"591",1424000
"592",570600
"593",653000
"594",440800
"595",594400
"596",239000
"597",425400
"598",959000
"599",563800
"600",221800
"601",484800
"602",1484600
"603",1051600
"604",346200
"605",656800
"606",289800
"607",662600
"608",185000
"609",319600
"610",469000
"611",488200
"612",506400
"613",386400
"614",392200
"615",278800
"616",662800
"617",417600
"618",400800
"619",301800
"620",539400
"621",569400
"622",331600
"623",259800
"624",551800
"625",380000
"626",583000
"627",456200
"628",392600
"629",1848000
"630",649600
"631",463000
"632",991400
"633",215800
"634",214400
"635",722200
"636",957600
"637",456800
"638",614800
"639",411000
"640",684000
"641",587000
"642",349400
"643",349800
"644",266600
"645",263600
"646",280600
"647",264400
"648",1794000
"649",433000
"650",500200
"651",466400
"652",425800
"653",420800
"654",279000
"655",250000
"656",950000
"657",658600
"658",937000
"659",253000
"660",250400
"661",898800
"662",385200
"663",523000
"664",655600
"665",415600
"666",793800
"667",672800
"668",311000
"669",516800
"670",479400
"671",1124200
"672",848200
"673",395000
"674",313600
"675",337200
"676",955400
"677",418200
"678",514800
"679",402200
"680",290000
"681",381000
"682",250400
"683",852400
"684",196000
"685",1092600
"686",883000
"687",461600
"688",612200
"689",359200
"690",208800
"691",432800
"692",607000
"693",531200
"694",248000
"695",275200
"696",1976000
"697",294200
"698",629400
"699",1043400
"700",420800
"701",627400
"702",580200
"703",673200
"704",466000
"705",666000
"706",714800
"707",261000
"708",816000
"709",342000
"710",630800
"711",305800
"712",532400
"713",1081000
"714",255400
"715",627000
"716",394800
"717",379000
"718",498800
"719",500800
"720",245400
"721",570000
"722",435200
"723",446800
"724",370200
"725",561000
"726",458200
"727",282800
"728",525000
"729",2754000
"730",1396000
"731",510800
"732",262600
"733",542800
"734",451200
"735",846400
"736",379400
"737",498200
"738",746200
"739",179800
"740",508800
"741",567000
"742",409000
"743",280400
"744",329200
"745",838000
"746",268200
"747",425000
"748",361200
"749",252800
"750",475200
"751",995200
"752",836400
"753",429600
"754",1504000
"755",288000
"756",596200
"757",350000
"758",273000
"759",639200
"760",717400
"761",447400
"762",770600
"763",369000
"764",1232000
"765",544200
"766",791800
"767",747200
"768",476800
"769",1228400
"770",824200
"771",502400
"772",330600
"773",434400
"774",519000
"775",255600
"776",476600
"777",505000
"778",540800
"779",533400
"780",287000
"781",702800
"782",765400
"783",358000
"784",329800
"785",277000
"786",198000
"787",855200
"788",1006000
"789",380000
"790",1132000
"791",296600
"792",223000
"793",510800
"794",251200
"795",479000
"796",323000
"797",714000
"798",401800
"799",352800
"800",1976000
"801",434000
"802",292400
"803",445600
"804",660800
"805",371800
"806",379400
"807",212600
"808",326000
"809",913800
"810",522600
"811",608400
"812",609200
"813",274000
"814",785600
"815",428400
"816",861000
"817",279200
"818",362600
"819",455200
"820",454400
"821",948000
"822",450200
"823",305800
"824",593400
"825",311400
"826",209400
"827",268800
"828",642200
"829",498000
"830",322000
"831",408200
"832",645000
"833",678200
"834",208200
"835",523400
"836",852200
"837",1534000
"838",680200
"839",623400
"840",649400
"841",402000
"842",792600
"843",583400
"844",455000
"845",203400
"846",255400
"847",431000
"848",497400
"849",214400
"850",831000
"851",218400
"852",1924000
"853",321600
"854",244400
"855",539400
"856",563000
"857",351200
"858",335200
"859",412200
"860",522600
"861",1588000
"862",563000
"863",920800
"864",280800
"865",266200
"866",229200
"867",665200
"868",225600
"869",2376000
"870",719800
"871",918400
"872",415600
"873",403400
"874",420600
"875",724000
"876",501000
"877",442200
"878",519400
"879",316200
"880",343000
"881",389200
"882",582800
"883",520400
"884",1860000
"885",367600
"886",1960000
"887",576200
"888",393200
"889",496800
"890",219200
"891",448800
"892",784000
"893",651600
"894",520000
"895",365800
"896",352800
"897",1368000
"898",194600
"899",137200
"900",281000
"901",583000
"902",636800
"903",459000
"904",899000
"905",411000
"906",239000
"907",216000
"908",311600
"909",2020000
"910",392200
"911",471000
"912",734400
"913",481200
"914",237200
"915",370600
"916",956200
"917",619200
"918",302400
"919",441200
"920",566800
"921",886800
"922",443600
"923",555000
"924",313000
"925",199600
"926",582800
"927",698400
"928",375200
"929",846400
"930",638000
"931",388400
"932",626600
"933",1113000
"934",481000
"935",469200
"936",494600
"937",1109400
"938",428200
"939",738800
"940",575000
"941",376600
"942",712600
"943",1192000
"944",811400
"945",371400
"946",462000
"947",806800
"948",330000
"949",549400
"950",461400
"951",497600
"952",294800
"953",430600
"954",824400
"955",226400
"956",556000
"957",697400
"958",269600
"959",730000
"960",558400
"961",727400
"962",1560000
"963",648600
"964",326400
"965",832000
"966",388200
"967",411800
"968",742400
"969",289400
"970",1055400
"971",785400
"972",620400
"973",675600
"974",397000
"975",316600
"976",303000
"977",456600
"978",523000
"979",513600
"980",394400
"981",320500
"982",215200
"983",544600
"984",459800
"985",319200
"986",472800
"987",637800
"988",542400
"989",587000
"990",510200
"991",889600
"992",369200
"993",518600
"994",412000
"995",484200
"996",873000
"997",571000
"998",518400
"999",777600
"1000",381400
"1001",490200
"1002",197400
"1003",564000
"1004",257800
"1005",455800
"1006",624200
"1007",625600
"1008",710400
"1009",756200
"1010",323000
"1011",764400
"1012",552400
"1013",875800
"1014",447800
"1015",310000
"1016",863200
"1017",438800
"1018",280200
"1019",645600
"1020",170600
"1021",686400
"1022",280200
"1023",422200
"1024",426600
"1025",770200
"1026",1072000
"1027",408400
"1028",979000
"1029",239000
"1030",320600
"1031",221000
"1032",354800
"1033",275200
"1034",228800
"1035",461000
"1036",226800
"1037",482000
"1038",262600
"1039",313400
"1040",383400
"1041",656200
"1042",379800
"1043",447600
"1044",429000
"1045",386800
"1046",632600
"1047",379800
"1048",1113400
"1049",375600
"1050",750400
"1051",506800
"1052",433400
"1053",341000
"1054",259400
"1055",522400
"1056",334600
"1057",312200
"1058",676000
"1059",328000
"1060",202600
"1061",408000
"1062",883200
"1063",650200
"1064",362200
"1065",446400
"1066",270200
"1067",516200
"1068",658600
"1069",1164000
"1070",692000
"1071",585400
"1072",316800
"1073",832200
"1074",340400
"1075",577200
"1076",409200
"1077",658200
"1078",488000
"1079",421800
"1080",181600
"1081",455400
"1082",324000
"1083",483800
"1084",267000
"1085",313800
"1086",579000
"1087",1091000
"1088",650800
"1089",839600
"1090",525000
"1091",260200
"1092",566400
"1093",230800
"1094",419800
"1095",326600
"1096",264800
"1097",1255400
"1098",418400
"1099",626800
"1100",491200
"1101",527400
"1102",297400
"1103",234800
"1104",567400
"1105",631400
"1106",702200
"1107",728200
"1108",647000
"1109",464600
"1110",798000
"1111",392600
"1112",437400
"1113",888000
"1114",664000
"1115",797600
"1116",333600
"1117",398000
"1118",536000
"1119",967800
"1120",254200
"1121",222600
"1122",304000
"1123",257000
"1124",489000
"1125",728200
"1126",340000
"1127",550400
"1128",443000
"1129",267600
"1130",577200
"1131",457200
"1132",262000
"1133",765000
"1134",321600
"1135",590600
"1136",305000
"1137",200600
"1138",573400
"1139",221000
"1140",982800
"1141",263000
"1142",223400
"1143",608200
"1144",464400
"1145",372000
"1146",342200
"1147",305800
"1148",392400
"1149",923400
"1150",677400
"1151",611800
"1152",1606000
"1153",653200
"1154",557600
"1155",289400
"1156",1027200
"1157",351600
"1158",283600
"1159",267000
"1160",540200
"1161",827600
"1162",736200
"1163",550400
"1164",477000
"1165",539800
"1166",472400
"1167",949800
"1168",483600
"1169",551400
"1170",622800
"1171",335000
"1172",690000
"1173",316000
"1174",593400
"1175",380600
"1176",1256000
"1177",485000
"1178",1243000
"1179",527800
"1180",503200
"1181",654800
"1182",816000
"1183",771600
"1184",629200
"1185",537800
"1186",347600
"1187",527600
"1188",573000
"1189",518000
"1190",694800
"1191",425600
"1192",1850000
"1193",1257000
"1194",259600
"1195",787200
"1196",507000
"1197",337200
"1198",711400
"1199",860800
"1200",414200
"1201",1272000
"1202",886000
"1203",357000
"1204",440000
"1205",377600
"1206",558000
"1207",239600
"1208",393200
"1209",499000
"1210",195000
"1211",443000
"1212",484600
"1213",465600
"1214",490200
"1215",511600
"1216",257600
"1217",611200
"1218",303400
"1219",424400
"1220",653000
"1221",709400
"1222",330200
"1223",283800
"1224",303200
"1225",723600
"1226",458200
"1227",973200
"1228",435600
"1229",543800
"1230",527000
"1231",295600
"1232",916600
"1233",700800
"1234",290400
"1235",631800
"1236",425400
"1237",706400
"1238",470600
"1239",534000
"1240",294400
"1241",304000
"1242",423600
"1243",438600
"1244",750800
"1245",238600
"1246",761200
"1247",400400
"1248",308400
"1249",483200
"1250",285800
"1251",351400
"1252",656800
"1253",675600
"1254",288000
"1255",471400
"1256",376000
"1257",454000
"1258",319800
"1259",284600
"1260",330400
"1261",271800
"1262",1313000
"1263",442600
"1264",224600
"1265",743600
"1266",197600
"1267",253600
"1268",333800
"1269",510800
"1270",219400
"1271",495800
"1272",1960000
"1273",440200
"1274",363400
"1275",545200
"1276",246000
"1277",392400
"1278",420800
"1279",571600
"1280",623400
"1281",386200
"1282",499000
"1283",329200
"1284",581600
"1285",332400
"1286",445800
"1287",239200
"1288",481800
"1289",573200
"1290",485600
"1291",432000
"1292",1125800
"1293",494600
"1294",309600
"1295",839600
"1296",385400
"1297",483800
"1298",348600
"1299",266400
"1300",907000
"1301",559400
"1302",933000
"1303",376400
"1304",229200
"1305",399800
"1306",1224000
"1307",992400
"1308",199200
"1309",406000
"1310",857600
"1311",725800
"1312",289200
"1313",276400
"1314",605200
"1315",1018200
"1316",1061000
"1317",434000
"1318",491600
"1319",279600
"1320",655000
"1321",518200
"1322",270400
"1323",392200
"1324",205200
"1325",388800
"1326",640600
"1327",225800
"1328",277400
"1329",491200
"1330",471600
"1331",320000
"1332",367800
"1333",712833.333
"1334",395200
"1335",820200
"1336",681600
"1337",909000
"1338",655000
"1339",227600
"1340",458200
"1341",494400
"1342",399400
"1343",456800
"1344",402800
"1345",454400
"1346",311400
"1347",449400
"1348",683800
"1349",339600
"1350",872200
"1351",309600
"1352",849000
"1353",339800
"1354",375000
"1355",222400
"1356",265400
"1357",425600
"1358",523600
"1359",672000
"1360",243000
"1361",634600
"1362",470000
"1363",592600
"1364",261800
"1365",510600
"1366",1126000
"1367",575000
"1368",447200
"1369",758400
"1370",693200
"1371",543600
"1372",600800
"1373",410200
"1374",855200
"1375",472000
"1376",552200
"1377",453600
"1378",440600
"1379",515000
"1380",1244000
"1381",570000
"1382",567600
"1383",469000
"1384",249800
"1385",929000
"1386",443400
"1387",612800
"1388",726600
"1389",379600
"1390",237800
"1391",659400
"1392",320400
"1393",470800
"1394",554600
"1395",1664000
"1396",345200
"1397",725600
"1398",761000
"1399",727600
"1400",807200
"1401",227200
"1402",1224000
"1403",489000
"1404",722600
"1405",396400
"1406",322600
"1407",480200
"1408",454000
"1409",220200
"1410",424600
"1411",225000
"1412",448600
"1413",554800
"1414",394200
"1415",264600
"1416",585000
"1417",372000
"1418",851200
"1419",573400
"1420",401600
"1421",328200
"1422",424600
"1423",6e+05
"1424",228600
"1425",300200
"1426",650800
"1427",469600
"1428",677400
"1429",1199000
"1430",546800
"1431",566800
"1432",611400
"1433",510600
"1434",189400
"1435",641800
"1436",888600
"1437",495200
"1438",645800
"1439",646200
"1440",1079400
"1441",388000
"1442",386400
"1443",539400
"1444",286600
"1445",1197000
"1446",208000
"1447",489200
"1448",517400
"1449",240800
"1450",276400
"1451",388600
"1452",563000
"1453",340400
"1454",449800
"1455",565400
"1456",689400
"1457",494600
"1458",779800
"1459",440600
"1460",336600
"1461",491600
"1462",522200
"1463",232800
"1464",467800
"1465",510833.333
"1466",353800
"1467",275400
"1468",613000
"1469",281800
"1470",430400
"1471",313000
"1472",209000
"1473",548800
"1474",474200
"1475",1011800
"1476",551400
"1477",463800
"1478",735800
"1479",902800
"1480",407800
"1481",563600
"1482",499800
"1483",347200
"1484",1108800
"1485",520000
"1486",1374600
"1487",798000
"1488",276200
"1489",797800
"1490",303600
"1491",817800
"1492",478000
"1493",447800
"1494",740800
"1495",180400
"1496",558400
"1497",237800
"1498",226800
"1499",259200
"1500",909200
"1501",543200
"1502",1344000
"1503",546200
"1504",405000
"1505",651200
"1506",709800
"1507",476600
"1508",553200
"1509",244000
"1510",287000
"1511",509400
"1512",503200
"1513",248400
"1514",279200
"1515",291400
"1516",1108800
"1517",349000
"1518",1054800
"1519",631200
"1520",849000
"1521",894600
"1522",483200
"1523",470800
"1524",447200
"1525",5e+05
"1526",210200
"1527",749000
"1528",492000
"1529",972000
"1530",449800
"1531",576600
"1532",391000
"1533",1794000
"1534",765000
"1535",358200
"1536",458400
"1537",510600
"1538",1120600
"1539",306000
"1540",267000
"1541",1150000
"1542",191600
"1543",1534000
"1544",1064000
"1545",337800
"1546",625000
"1547",591200
"1548",721800
"1549",548600
"1550",292600
"1551",506800
"1552",1364000
"1553",1093000
"1554",1266000
"1555",366800
"1556",455800
"1557",278400
"1558",332800
"1559",263200
"1560",256600
"1561",552400
"1562",366200
"1563",985800
"1564",225000
"1565",281200
"1566",467400
"1567",560200
"1568",528800
"1569",475600
"1570",285200
"1571",505800
"1572",567400
"1573",326000
"1574",720200
"1575",1062800
"1576",237800
"1577",205800
"1578",771000
"1579",2946000
"1580",310000
"1581",216000
"1582",939000
"1583",359000
"1584",739800
"1585",462200
"1586",672400
"1587",716200
"1588",1482000
"1589",436000
"1590",438600
"1591",288600
"1592",858000
"1593",434000
"1594",734600
"1595",639000
"1596",629800
"1597",389200
"1598",591800
"1599",515400
"1600",1029000
"1601",334200
"1602",592600
"1603",501000
"1604",470600
"1605",268600
"1606",1305800
"1607",565400
"1608",593200
"1609",558600
"1610",317800
"1611",384000
"1612",740400
"1613",613600
"1614",464200
"1615",636200
"1616",272800
"1617",230200
"1618",422200
"1619",265000
"1620",911400
"1621",627600
"1622",427800
"1623",472600
"1624",412800
"1625",490400
"1626",217600
"1627",486600
"1628",409400
"1629",499800
"1630",475200
"1631",370166.667
"1632",187800
"1633",554600
"1634",349600
"1635",205200
"1636",544400
"1637",501400
"1638",638200
"1639",332800
"1640",597600
"1641",514600
"1642",483600
"1643",337200
"1644",442600
"1645",1098000
"1646",412000
"1647",621800
"1648",1237800
"1649",898400
"1650",1578000
"1651",692000
"1652",1509600
"1653",480200
"1654",756600
"1655",587400
"1656",641800
"1657",1552000
"1658",668800
"1659",265000
"1660",482000
"1661",650200
"1662",406800
"1663",757200
"1664",570600
"1665",722000
"1666",857600
"1667",244200
"1668",434200
"1669",423400
"1670",701000
"1671",397000
"1672",630800
"1673",1499800
"1674",162600
"1675",742200
"1676",357600
"1677",617800
"1678",242400
"1679",493800
"1680",464200
"1681",772600
"1682",733000
"1683",771200
"1684",421200
"1685",630800
"1686",249000
"1687",465600
"1688",418400
"1689",593400
"1690",233800
"1691",368000
"1692",836400
"1693",438000
"1694",438000
"1695",224200
"1696",490200
"1697",224600
"1698",357200
"1699",485800
"1700",474000
"1701",951000
"1702",734200
"1703",203600
"1704",753800
"1705",211400
"1706",795800
"1707",857600
"1708",1007400
"1709",406600
"1710",866600
"1711",1088000
"1712",450800
"1713",319600
"1714",597400
"1715",311000
"1716",204200
"1717",588600
"1718",477200
"1719",850800
"1720",645800
"1721",726400
"1722",1008600
"1723",934400
"1724",1145000
"1725",2552000
"1726",1604600
"1727",849800
"1728",740800
"1729",520800
"1730",765400
"1731",520000
"1732",713600
"1733",430400
"1734",567800
"1735",868000
"1736",494600
"1737",513400
"1738",771800
"1739",543000
"1740",215400
"1741",266800
"1742",265800
"1743",217800
"1744",582200
"1745",266800
"1746",340400
"1747",392600
"1748",436000
"1749",296000
"1750",513400
"1751",286000
"1752",449000
"1753",871800
"1754",469000
"1755",1369000
"1756",391200
"1757",224000
"1758",365400
"1759",348200
"1760",662000
"1761",345200
"1762",358400
"1763",603200
"1764",242800
"1765",564800
"1766",355000
"1767",470800
"1768",488800
"1769",268400
"1770",410200
"1771",196600
"1772",635600
"1773",407000
"1774",406200
"1775",719600
"1776",346200
"1777",859600
"1778",269600
"1779",400400
"1780",517400
"1781",422833.333
"1782",683800
"1783",476000
"1784",281800
"1785",221000
"1786",478200
"1787",663600
"1788",549000
"1789",706000
"1790",358000
"1791",794800
"1792",350200
"1793",659000
"1794",396200
"1795",322000
"1796",358400
"1797",314200
"1798",291000
"1799",1162000
"1800",696000
"1801",224400
"1802",206800
"1803",197200
"1804",611000
"1805",264800
"1806",613600
"1807",442000
"1808",397600
"1809",771200
"1810",300400
"1811",242000
"1812",289400
"1813",335800
"1814",357600
"1815",348400
"1816",558800
"1817",351600
"1818",399000
"1819",621800
"1820",908000
"1821",470800
"1822",680600
"1823",330800
"1824",557200
"1825",486000
"1826",439000
"1827",701800
"1828",282600
"1829",322000
"1830",257800
"1831",220200
"1832",521000
"1833",715600
"1834",887400
"1835",653800
"1836",682000
"1837",608600
"1838",843600
"1839",1171000
"1840",346000
"1841",573200
"1842",828800
"1843",1437000
"1844",380000
"1845",613600
"1846",389600
"1847",193200
"1848",499600
"1849",278200
"1850",553600
"1851",559800
"1852",505600
"1853",396200
"1854",181600
"1855",1115000
"1856",925200
"1857",350600
"1858",328000
"1859",806000
"1860",505000
"1861",622800
"1862",424800
"1863",1239600
"1864",466600
"1865",517200
"1866",271600
"1867",606200
"1868",241400
"1869",434200
"1870",526200
"1871",422200
"1872",356600
"1873",388200
"1874",585600
"1875",389400
"1876",212400
"1877",536400
"1878",199800
"1879",269000
"1880",409200
"1881",857400
"1882",781400
"1883",210000
"1884",261600
"1885",322400
"1886",300600
"1887",447000
"1888",318000
"1889",510200
"1890",616800
"1891",355000
"1892",277600
"1893",451400
"1894",418800
"1895",250400
"1896",208200
"1897",1326000
"1898",282200
"1899",1395000
"1900",181800
"1901",521800
"1902",645200
"1903",271600
"1904",297800
"1905",766200
"1906",630800
"1907",505000
"1908",239400
"1909",715600
"1910",781600
"1911",715800
"1912",659600
"1913",445600
"1914",283600
"1915",757600
"1916",261600
"1917",189600
"1918",635200
"1919",387000
"1920",358800
"1921",611600
"1922",585000
"1923",576200
"1924",519000
"1925",247800
"1926",545000
"1927",442200
"1928",178600
"1929",174000
"1930",270200
"1931",368200
"1932",201000
"1933",746600
"1934",199400
"1935",481400
"1936",479000
"1937",1105000
"1938",286800
"1939",832200
"1940",237200
"1941",256000
"1942",640600
"1943",359400
"1944",1361666.667
"1945",643600
"1946",2240000
"1947",333400
"1948",564400
"1949",549000
"1950",809000
"1951",504400
"1952",533600
"1953",731000
"1954",293400
"1955",209200
"1956",439200
"1957",222200
"1958",265200
"1959",469400
"1960",334800
"1961",362000
"1962",225800
"1963",446000
"1964",533000
"1965",418000
"1966",660600
"1967",380600
"1968",545200
"1969",366400
"1970",438600
"1971",242400
"1972",735600
"1973",448200
"1974",498600
"1975",611000
"1976",310600
"1977",544000
"1978",343600
"1979",803200
"1980",296000
"1981",236200
"1982",295400
"1983",254200
"1984",289600
"1985",443200
"1986",559800
"1987",344600
"1988",253200
"1989",1160000
"1990",376200
"1991",356200
"1992",940400
"1993",649400
"1994",257000
"1995",761200
"1996",261200
"1997",615200
"1998",965000
"1999",277200
"2000",410600
"2001",347600
"2002",605400
"2003",320800
"2004",296600
"2005",368800
"2006",309400
"2007",446800
"2008",262600
"2009",290000
"2010",853400
"2011",484200
"2012",1426000
"2013",437600
"2014",807000
"2015",229200
"2016",488200
"2017",278200
"2018",523000
"2019",497600
"2020",190000
"2021",651000
"2022",801400
"2023",410200
"2024",256600
"2025",762600
"2026",1192000
"2027",417200
"2028",575000
"2029",913600
"2030",187600
"2031",438400
"2032",229200
"2033",341800
"2034",418800
"2035",790200
"2036",548600
"2037",425200
"2038",297200
"2039",280800
"2040",491800
"2041",309400
"2042",720000
"2043",634400
"2044",450600
"2045",437400
"2046",323600
"2047",1750000
"2048",685600
"2049",438600
"2050",329000
"2051",359400
"2052",360600
"2053",618400
"2054",366200
"2055",752800
"2056",263800
"2057",532000
"2058",470400
"2059",670600
"2060",735000
"2061",193200
"2062",1403000
"2063",229000
"2064",639400
"2065",267400
"2066",339800
"2067",743000
"2068",504800
"2069",317800
"2070",541800
"2071",764000
"2072",540600
"2073",557400
"2074",640600
"2075",597600
"2076",360400
"2077",520400
"2078",448000
"2079",398400
"2080",613800
"2081",257600
"2082",413400
"2083",758400
"2084",635600
"2085",889600
"2086",351000
"2087",494600
"2088",320200
"2089",392000
"2090",467000
"2091",397600
"2092",1606000
"2093",311800
"2094",990400
"2095",415200
"2096",335800
"2097",367600
"2098",865800
"2099",295400
"2100",245800
"2101",432400
"2102",318000
"2103",980800
"2104",681800
"2105",758600
"2106",244000
"2107",192600
"2108",504600
"2109",269400
"2110",381800
"2111",259000
"2112",422400
"2113",295800
"2114",405400
"2115",391200
"2116",532400
"2117",303200
"2118",824000
